Part Name,Quantity,Cost,Link
"5015 (50x50x15)mm fans",2,"$1.71","https://makerbazar.in/products/generic-axial-dc-cooling-fan-blowers?variant=46306221490416"
"5020 (50x50x20)mm fans",2,"$2.03","https://makerbazar.in/products/generic-axial-dc-cooling-fan-blowers?variant=46399947931888"
"Neodymium Circular Magnet 3mm x 3mm",48,"$4.39","https://makerbazar.in/products/neodymium-circular-magnet?variant=47451807875312"
"90° L Bracket Right Angle Shape Corner Stand",4,"$0.46","https://makerbazar.in/products/right-angle-bracket-iron-angle-code-corner-stand?variant=46436990877936"
"Ball Caster Wheels",6,"$1.23","https://makerbazar.in/products/castor-wheels"
"Low Cost USB-C wire",1,"$0.45","https://makerbazar.in/products/generic-low-cost-type-c-usb-data-cable-black-white"
"Pink 12VDC LED strip",1,"$2.73","https://makerbazar.in/products/2835-12v-dc-led-strips-roll?variant=46419708838128"
"PWM Fan Controller",2,"$3.41","https://makerbazar.in/products/dc-6v-28v-6v-12v-24v-3a-pwm-dc-motor-speed-controller-forward-reverse-with-switch"
"Ribbon Cable Wire",1,"$0.43","https://makerbazar.in/products/multi-coloured-ribbon-cable-wire?variant=40914910281879"
"Black Heat Shrink Sleeve Tube (2.5mm)",1,"$0.091","https://makerbazar.in/products/heat-shrink?variant=19627635212384"
"Type-C USB PCB Breakout Board",1,"$0.22","https://makerbazar.in/products/type-c-usb-female-to-dip-pcb-breakout-board?variant=46337045299440"
"Round Rocker",2,"$0.30","https://makerbazar.in/products/round-rocker-switch-2-leg-pack-of-2-spst"
"Miscs",1,"$2",""
"Shipping and extra fees","",".46",""
"Total","","$28.68",""
